Trade	MktID	MarketName	TradableMnth	Weight	Slpg	Open	Close	CtCnt	Settle	BB	RIC	Tm1	Tm2	EnEndAdj	ExOT	ExPeriod	RebBegin	RebEnd	RollBegin	RollEnd	longMult	shortMult	TradeDir	longMult	shortMult	longShort	long	short	IBRoot	IBExch	OpenReg	URic	UIB	UR2NIntra	URNEX2d	UEm	Note	ProdWithAsian	longShort	longOnly	shortOnly	Note
N	3309	FedFund 30 Day@CBT	[111111111111]	1	0.01%	17:05	16:00	8	14:00	FFA Comdty	FF	12:00	14:00	20	Vwap	10	19:05	21:05	19:05	21:05	0	0	0						ZQ	ECBOT		Y	Y	N	N	N		N				
N	3310	Interbank Cash Rate 30 Day@SFE	[111111111111]	1	0.01%	17:05	16:30	8		IBA Comdty	YIB	12:00		20	Vwap	10	10:30	12:30	10:30	12:30	0	0	0						IB	SNFE		Y	Y	N	N	N		N				
N	3311	New Zeal Bank Bill 3 mon@SFE	[001001001001]	1	0.01%	17:05	16:30	8		ZBA Comdty	NBB	12:00		20	Vwap	10	10:30	12:30	10:30	12:30	0	0	0									N	N	N	N	N		N				
N	3312	Euroyen Tibor 3 Mon@TFX	[001001001001]	1	0.01%	08:30	20:15	8		YEA Comdty	JEY	12:00		20	Twap	10	08:35	10:35	08:35	10:35	0	0	0									N	N	N	N	N		N				
N	3401	5-year Euro Swapnote@LIF	[001001001001]	1	0.01%	07:00	18:00	8	16:15	T A Comdty	FBO	12:00		20	Vwap	10	07:05	09:05	07:05	09:05	0	0	0						O	ICEEU		Y	Y	N	N	N		N				
N	3402	10-Year Swap@CBT	[001001001001]	1	0.01%	17:05	16:00	8	14:00	CNPA Comdty	NI	12:00	14:00	20	Vwap	10	19:05	21:05	19:05	21:05	0	0	0						N1U	ECBOT		Y	Y	N	N	N		N				
N	3403	2-Year Euro Swapnote@LIF	[001001001001]	1	0.01%	07:00	18:00	8	16:15	RWA Comdty	FBS	12:00		20	Vwap	10	07:05	09:05	07:05	09:05	0	0	0						TWS	ICEEU		Y	Y	N	N	N		N				
N	3404	5-Year Swapnote@CBT	[001001001001]	1	0.01%	17:05	16:00	8	14:00	CFPA Comdty	IR	12:00	14:00	20	Vwap	10	19:05	21:05	19:05	21:05	0	0	0						F1U	ECBOT		Y	Y	N	N	N		N				
N	3405	30-Year Swapnote@CBT	[001001001001]	1	0.01%	17:05	16:00	8	14:00	CBPA Comdty	NTT	12:00	14:00	20	Vwap	10	19:05	21:05	19:05	21:05	0	0	0						B1U	ECBOT		Y	Y	N	N	N		N				
N	3406	2-Year Swapnote@CBT	[001001001001]	1	0.01%	17:05	16:00	8	14:00	CTPA Comdty		12:00	14:00	20	Vwap	10	19:05	21:05	19:05	21:05	0	0	0									N	N	N	N	N		N				
N	3407	10-year Euro Swapnotge@LIF	[001001001001]	1	0.01%	07:00	18:00	8	16:15	P A Comdty	FBP	12:00		20	Vwap	10	07:05	09:05	07:05	09:05	0	0	0						P	ICEEU		Y	Y	N	N	N		N				
N	3501	E-Mini@CME	[001001001001]	1	0.01%	17:05	16:00	8	15:15	ESA Index	ES	12:00	15:15	20	Vwap	10	19:05	21:05	19:05	21:05	0	0	0				N	N	ES	GLOBEX		Y	Y	Y	Y	Y		Y	0.6	0.6		long sr 2.5
Y	3502	Euro Stoxx 50@EUX	[001001001001]	1	0.01%	08:00	22:05	8	17:30	VGA Index	STXE	12:30	18:00	20	Vwap	10	08:05	10:05	08:05	10:05	0.9	0	0	1.45	1.15	Y	Y	Y	ESTX50	DTB		Y	Y	N	Y	N		N	0.7	0.7	1.25	
R3517	3503	Nikkei 225@OSE	[001001001001]	1	0.03%	08:45	15:10	8	15:10	NOA Index		12:00	15:10	20	Vwap	10	08:50	10:50	08:50	10:50	0	0	1						N255M	OSE.JPN		Y	Y	N	N	N		N				
N	3504	CSI 300 China@CFF	[111111111111]	1	0.03%	09:30	11:30	8		IFBA Index		12:00		20	Vwap	10	09:35	11:35	09:35	11:35	0	0	0									N	N	N	N	N		N				
N	3505	Nasdaq 100 E-mini@CME	[001001001001]	1	0.03%	17:05	16:00	8	15:15	NQA Index	NQ	12:00	15:15	20	Vwap	10	19:05	21:05	19:05	21:05	0	0	1	0.55		N	Y	N	NQ	GLOBEX		Y	Y	N	N	N		N	0.65	0.65		
DataIssue	3506	Russell 2000 Mini@NYF	[001001001001]	1	0.03%	20:00	18:00	8	16:15	RTAA Index	TFS	12:00	12:00	20	Vwap	10	20:05	22:05	20:05	22:05	0.55	0	0						TF	NYBOT	20:00	Y	Y	Y	Y	N		Y				
N	3507	DJ Industrial Average Mini@CBT	[001001001001]	1	0.03%	17:05	16:00	8	15:15	DMA Index	YM	12:00	15:15	20	Vwap	10	19:05	21:05	19:05	21:05	0	0	0						YM	ECBOT		Y	Y	N	N	N		N				
N	3508	CAC 40@EOP	[111111111111]	1	0.03%	08:00	22:00	8	17:35	CFA Index	FCE	12:00	17:35	20	Vwap	10	08:05	10:05	08:05	10:05	0	0	0				N	N	CAC40	MONEP		Y	Y	N	N	N		N	0.95	0.95	1.9	
NoGiveup	3509	KOSPI200@KFE	[001001001001]	1	0.03%	18:00	15:46	8	15:15	KMA Index	KS	12:00	15:15	20	Twap	10	18:05	20:05	18:05	20:05	0	0	0						K200	KSE		Y	Y	N	N	N		N				
Y	3510	Hang Seng China Enterprises@HKG	[111111111111]	1	0.03%	09:15	16:30	8	16:15	HCA Index	HCEI	13:30	16:30	20	Vwap	10	09:20	11:20	09:20	11:20	0	1.5	0	1.2	1.1	Y	Y	Y	HHI.HK	HKFE		Y	Y	Y	Y	N		N	1.15	1.2	1.1	
Y	3511	DAX Index@EUX	[001001001001]	1	0.03%	08:00	22:05	8	17:30	GXA Index	FDX	12:30	17:30	20	Vwap	10	08:05	10:05	08:05	10:05	1.2	0	-1		1.4	N	N	Y	DAX	DTB		Y	Y	Y	Y	N		Y	0.75	0.75	1.4	
N	3512	FTSE China A50@SGX	[111111111111]	1	0.03%	09:00	16:35	8	16:30	XUA Index	SFC	12:00	16:30	20	Vwap	10	09:05	11:05	09:05	11:05	0	0	0	1.75	1.8	Y	Y	Y	XINA50	SGX		Y	Y	N	N	N	liq and gap	N	1.75	1.75	1.8	
N	3513	Nikkei 225@SGX	[001001001001]	1	0.03%	07:30	14:30	8	14:25	NIA Index	SSI	12:00	14:25	20	Vwap	10	08:35	09:35	08:35	09:35	0	0	0	0.6	1.8	Y	Y	Y	N225U	SGX		Y	Y	Y	Y	N		Y	0.6	0.6	1.8	
Y	3514	FTSE 100@LIF	[001001001001]	1	0.03%	01:00	21:00	8	16:30	Z A Index	FFI	12:30	16:35	20	Vwap	10	01:05	03:05	01:05	03:05	1.55	0	0	1.85	1.65	Y	Y	Y	Z	ICEEU		Y	Y	N	N	Y		N	1.55	1.55	1.65	
Y	3515	Hang Seng@HKG	[111111111111]	1	0.03%	09:15	16:30	8	16:15	HIA Index	HSI	16:00	16:15	20	Vwap	10	09:20	11:20	09:20	11:20	1.4	0	0	0.55	0.7	Y	Y	Y	HSI	HKFE		Y	Y	Y	Y	N		N	0.55	0.55	0.7	short sr 2.84
Y	3516	MSCI Taiwan@SGX	[111111111111]	1	0.03%	08:45	13:50	8	13:45	TWA Index	STW	12:00	13:45	20	Vwap	10	08:50	10:50	08:50	10:50	2.5	0	0						STW	SGX		Y	Y	N	Y	N		N				Vwap failed without rejection during aution period 13:45--13:50 sometimes
N	3517	Nikkei 225@OSE	[001001001001]	1	0.03%	08:45	15:10	8	15:10	NKA Index	JNI	12:00	15:10	20	Vwap	10	08:50	10:50	08:50	10:50	0	0	0	0.55	1.3	Y	Y	Y	N225	OSE.JPN		Y	Y	N	N	N		Y	0.55	0.55	1.3	short sr 2.04; long sr 1.9
Y	3518	CNX Nifty @SGX	[111111111111]	1	0.03%	09:00	18:15	8	18:10	IHA Index	SIN	12:00	18:10	20	Vwap	10	09:05	11:05	09:05	11:05	1.6	1.9	0	0.7	1.25	Y	Y	Y	NIFTY	SGX		Y	Y	N	N	N		N	0.7	0.7	1.15	
Y	3519	Nikkei 225@CME	[001001001001]	1	0.03%	17:05	16:00	8	15:15	NHA Index	NIY	12:00	15:15	20	Vwap	10	19:05	21:05	19:05	21:05	0	1.6	0						NIY	GLOBEX		Y	Y	N	Y	N		N				
N	3520	Euro Stoxx 600 Auto@EUX	[001001001001]	1	0.03%	08:00	22:00	8	17:30	EBA Index	FESA	12:00	17:30	20	Vwap	10	08:05	10:05	08:05	10:05	0	0	0						ESA	DTB		Y	Y	N	N	N		N				
N	3521	OMXS30@SSE	[111111111111]	1	0.03%	09:00	17:30	8	17:25	QCA Index		12:00	17:25	20	Vwap	10	09:05	11:05	09:05	11:05	0	0	0						OMXS30	OMS		Y	Y	N	N	N		N				l/s sharpe 1.2
N	3522	TOPIX@TSE	[001001001001]	1	0.03%	08:45	15:10	8	15:10	TPA Index	TLFI	12:00	15:10	20	Vwap	10	08:50	10:50	08:50	10:50	0	0	0						TOPX	TSEJ		Y	Y	N	N	N		N				
NotCFTC	3523	Swiss Index@EUX	[001001001001]	1	0.03%	08:00	22:05	8	17:20	SMA Index	FSMI	12:00	17:20	20	Vwap	10	08:05	10:05	08:05	10:05	0	0	0						SMI	SOFFEX		Y	Y	N	Y	N		N				
Y	3524	MSCI Singapore@SGX	[111111111111]	1	0.03%	08:30	17:10	8	17:05	QZA Index	SSG	12:00	17:05	20	Vwap	10	08:35	10:35	08:35	10:35	1.75	0	1	0.75	0.65	N	Y	N	SSG	SGX		Y	Y	N	N	N		N	0.55	0.55	0.65	strange volume pattern
N	3525	Nikkei 225@CME	[001001001001]	1	0.03%	17:05	16:00	8	15:15	NXA Index	NK	12:00	15:15	20	Vwap	10	19:05	21:05	19:05	21:05	0	0	1	1.85		N	Y	N	NKD	GLOBEX		Y	Y	N	N	N		N	1.85	1.85		
N	3526	Hang Seng Mini@HKG	[111111111111]	1	0.03%	09:15	16:30	8	16:15	HUA Index	HMH	12:00	16:15	20	Vwap	10	09:20	11:20	09:20	11:20	0	0	0						MHI	HKFE		Y	Y	N	N	N		N				
Y	3527	MSCI Emerging Market@NYL	[001001001001]	1	0.03%	09:20	17:59	8	16:00	MESA Index	MEM	12:00	16:15	20	Vwap	10	09:25	12:25	09:25	12:25	0	2.5	0						MXEF	NYSELIFFE		Y	Y	N	N	N		N				
Y	3528	ASX SPI 200@SFE	[001001001001]	1	0.03%	09:50	16:30	8	16:30	XPA Index	YAP	12:00	16:30	20	Vwap	10	09:55	11:55	09:55	11:55	1.2	0	1	0.85		N	Y	N	SPI	SNFE		Y	Y	N	N	N		N	1.1	0.65		
N	3529	Euro Stoxx 50 DVD@EUX	[000000000001]	1	0.03%	08:00	20:00	8	17:30	DEDA Index	FEXD	12:00	17:30	20	Vwap	10	08:05	10:05	08:05	10:05	0	0	0						DESX5	DTB		Y	Y	N	N	N		N				
N	3530	SP400 E-Mini@CME	[001001001001]	1	0.03%	17:05	16:00	8	15:15	FAA Index	DM	12:00	15:15	20	Vwap	10	19:05	21:05	19:05	21:05	0	0	0						EMD	GLOBEX	17:00	Y	Y	N	Y	N		N				
NotCFTC	3531	Euro STOXX Banks@EUX	[001001001001]	1	0.03%	08:00	22:00	8	17:30	CAA Index	FESB	12:00	17:30	20	Vwap	10	08:05	10:05	08:05	10:05	1.55	0	0						SX7E	DTB		Y	Y	Y	Y	N		Y				
N	3532	Amsterdam Index@EOE	[111111111111]	1	0.03%	08:00	22:00	8	17:35	EOA Index		12:00	17:35	20	Vwap	10	08:05	10:05	08:05	10:05	0	0	0				N	N	EOE	FTA		Y	Y	N	N	N		N	1.85	1.85		
N	3533	Mini TOPIX@TSE	[001001001001]	1	0.03%	08:45	15:10	8		TMIA Index		12:00		20	Vwap	10	08:50	10:50	08:50	10:50	0	0	0						MNTPX	TSEJ		Y	Y	N	N	N		N				
N	3534	Euro Stoxx Mdia@EUX	[001001001001]	1	0.03%	08:00	22:00	8	17:30	NMA Index	FESM	12:00	17:30	20	Vwap	10	08:05	10:05	08:05	10:05	0	0	0						ESM	DTB		Y	Y	N	N	N		N				
Y	3535	SP Toronto 60@MSE	[001001001001]	1	0.03%	06:00	16:15	8	15:00	PTA Index	SXF	15:00	16:15	20	Vwap	10	06:05	08:05	06:05	08:05	1.85	0	1	0.65		N	Y	N	TSE60	CDE	06:00	Y	Y	N	Y	N		N	0.65	0.65		"SST not work with timequeue, CMKT, STP not supported"
N	3536	Hang Seng China Enterprises Mini@HKG	[111111111111]	1	0.03%	09:15	16:30	8	16:15	MHCA Index	HMCE	12:00	16:15	20	Vwap	10	09:20	11:20	09:20	11:20	0	0	0						MCH.HK	HKFE		Y	Y	N	N	N		N				
N	3537	Euro Stoxx Oil & Gas@EUX	[001001001001]	1	0.03%	08:00	22:00	8	17:30	QRA Index	FESE	12:00	17:30	20	Vwap	10	08:05	10:05	08:05	10:05	0	0	0						ESE	DTB		Y	Y	N	N	N		N				
N	3538	mini MSCI EAFE Index@NYL	[001001001001]	1	0.03%	09:20	17:59	8	16:00	MFSA Index	MFS	12:00	16:15	20	Vwap	10	09:25	12:25	09:25	12:25	0	0	0						MXEA	NYSELIFFE		Y	Y	N	N	N		N				
N	3539	Euro Stoxx Small@EUX	[001001001001]	1	0.03%	08:00	20:00	8	17:30	SXEA Index	FSCE	12:00	17:30	20	Vwap	10	08:05	10:05	08:05	10:05	0	0	0						DJESS	DTB		Y	Y	N	N	N		N				
N	3540	Stoxx Telecom@EUX	[001001001001]	1	0.03%	08:00	22:00	8	17:30	WZA Index	FEST	12:00	17:30	20	Vwap	10	08:05	10:05	08:05	10:05	0	0	0						SXKE	DTB		Y	Y	N	N	N		N				
N	3541	FTSE 100 Dividend Index @LIF	[000000000001]	1	0.03%	08:00	17:30	8	16:30	UKDA Index	LXZ	12:00		20	Vwap	10	08:05	10:05	08:05	10:05	0	0	0						F1DV	ICEEU		Y	Y	N	N	N		N				
N	3542	Euro Stoxx Utilities@EUX	[001001001001]	1	0.03%	08:00	22:00	8	17:30	ITA Index	FESU	12:00	17:30	20	Vwap	10	08:05	10:05	08:05	10:05	0	0	0						ESU	DTB		Y	Y	N	N	N		N				
N	3543	RDXUSD Index@EUX	[001001001001]	1	0.03%	08:00	20:00	8	17:30	RXDA Index	FRDX	12:00	17:30	20	Vwap	10	08:05	10:05	08:05	10:05	0	0	0						RDXUSD	DTB		Y	Y	N	N	N		N				
N	3544	Stoxx 50@EUX	[001001001001]	1	0.03%	08:00	22:00	8	17:30	VHA Index	STXX	12:00	17:30	20	Vwap	10	08:05	10:05	08:05	10:05	0	0	0						STX	DTB		Y	Y	N	N	N		N				
N	3545	Stoxx 600 Auto & Part@EUX	[001001001001]	1	0.03%	08:00	22:00	8	17:30	SXA Index	FSTA	12:00	17:30	20	Vwap	10	08:05	10:05	08:05	10:05	0	0	0						SXAP	DTB		Y	Y	N	N	N		N				
N	3546	Stoxx 600 Banks@EUX	[001001001001]	1	0.03%	08:00	22:00	8	17:30	BJA Index	FSTB	12:00	17:30	20	Vwap	10	08:05	10:05	08:05	10:05	0	0	0						SX7P	DTB		Y	Y	N	N	N		N				
N	3547	HSCEI Dividend Point Index@HKG	[000000000001]	1	0.03%	09:15	12:00	8	16:15	DHCA Index	DHH	12:00	16:15	20	Vwap	10	09:20	11:20	09:20	11:20	0	0	0						HHIDPI	HKFE		Y	Y	N	N	N		N				
N	3548	Stoxx 600 Basic Resources@EUX	[001001001001]	1	0.03%	08:00	22:00	8	17:30	JSA Index	FSTS	12:00	17:30	20	Vwap	10	08:05	10:05	08:05	10:05	0	0	0						SXPP	DTB		Y	Y	N	N	N		N				
N	3549	Russell 1000 Mini@NYF	[001001001001]	1	0.03%	20:00	18:00	8	16:15	RMA Index	RMF	12:00	15:00	20	Vwap	10	20:05	22:05	20:05	22:05	0	0	0						RYO	NYBOT		Y	Y	N	N	N		N				
N	3550	Stoxx 600 Food & Beverage@EUX	[001001001001]	1	0.03%	08:00	22:00	8	17:30	PFA Index	FSTO	12:00	17:30	20	Vwap	10	08:05	10:05	08:05	10:05	0	0	0						SX3P	DTB		Y	Y	N	N	N		N				
N	3551	Nikkei Dividend @SGX	[000000000001]	1	0.03%	07:30	14:25	8	14:20	MNDA Index		12:00	14:20	20	Vwap	10	08:35	09:35	08:35	09:35	0	0	0						NKYDIV	SGX		Y	Y	N	N	N		N				
N	3552	Stoxx Healthcare@EUX	[001001001001]	1	0.03%	08:00	22:00	8	17:30	HGA Index	FSTH	12:00	17:30	20	Vwap	10	08:05	10:05	08:05	10:05	0	0	0						SXDP	DTB		Y	Y	N	N	N		N				
N	3553	MSCI Indonesia @SGX	[111111111111]	1	0.03%	09:00	17:30	8	17:25	IDOA Index		12:00	17:25	20	Vwap	10	09:05	11:05	09:05	11:05	0	0	0						MXID	SGX		Y	Y	N	N	N		N				
N	3554	Stoxx 600 Industrial@EUX	[001001001001]	1	0.03%	08:00	22:00	8	17:30	QBA Index	FSTG	12:00	17:30	20	Vwap	10	08:05	10:05	08:05	10:05	0	0	0						SXNP	DTB		Y	Y	N	N	N		N				
N	3555	DAX mid-cap@EUX	[001001001001]	1	0.03%	08:00	22:00	8	17:30	MFA Index	HMCE	12:00	17:30	20	Vwap	10	08:05	10:05	08:05	10:05	0	0	0						MDAX	DTB		Y	Y	N	N	N		N				
N	3556	STOXX 600 Insurance@EUX	[001001001001]	1	0.03%	08:00	22:00	8	17:30	JVA Index	FSTI	12:00	17:30	20	Vwap	10	08:05	10:05	08:05	10:05	0	0	0						SXIP	DTB		Y	Y	N	N	N		N				
N	3558	Stoxx 600 Media@EUX	[001001001001]	1	0.03%	08:00	22:00	8	17:30	OMA Index	FSTM	12:00	17:30	20	Vwap	10	08:05	10:05	08:05	10:05	0	0	0						SXMP	DTB		Y	Y	N	N	N		N				
N	3559	Stoxx 600 Oil & Gas@EUX	[001001001001]	1	0.03%	08:00	22:00	8	17:30	KGA Index	FSTE	12:00	17:30	20	Vwap	10	08:05	10:05	08:05	10:05	0	0	0						SXEP	DTB		Y	Y	N	N	N		N				
N	3560	Russell 1000 value@NYF	[001001001001]	1	0.03%	20:00	18:00	8	16:15	RVBA Index	IRV	12:00		20	Vwap	10	20:05	22:05	20:05	22:05	0	0	0						RLV	NYBOT		Y	Y	N	N	N		N				
N	3561	Stoxx 600 Telecom@EUX	[001001001001]	1	0.03%	08:00	22:00	8	17:30	WQA Index	FSTT	12:00	17:30	20	Vwap	10	08:05	10:05	08:05	10:05	0	0	0						SXKP	DTB		Y	Y	N	N	N		N				
N	3562	Stoxx 600 Utilities@EUX	[001001001001]	1	0.03%	08:00	22:00	8	17:30	GPA Index	FSTU	12:00	17:30	20	Vwap	10	08:05	10:05	08:05	10:05	0	0	0						SX6P	DTB		Y	Y	N	N	N		N				
N	3563	Stoxx Europe Large 200@EUX	[001001001001]	1	0.03%	08:00	20:00	8	17:30	SXPA Index	FLCP	12:00	17:30	20	Vwap	10	08:05	10:05	08:05	10:05	0	0	0						DJ200L	DTB		Y	Y	N	N	N		N				
N	3564	Mini SP Toronto 60@MSE	[001001001001]	1	0.03%	06:00	16:00	8	15:00	MPTA Index	FCS	12:00	15:00	20	Vwap	10	06:05	08:05	06:05	08:05	0	0	0									N	N	N	N	N		N				
N	3565	Stoxx Europe Small 200@EUX	[001001001001]	1	0.03%	08:00	20:00	8	17:30	SXTA Index	FMCE	12:00	17:30	20	Vwap	10	08:05	10:05	08:05	10:05	0	0	0						DJ200S	DTB		Y	Y	N	N	N		N				
N	3566	S&P Mid-cap@CME	[001001001001]	1	0.03%	08:45	16:00	8	15:15	MDA Index	MD	12:00	15:15	20	Vwap	10	19:05	21:05	19:05	21:05	0	0	0						EMD	GLOBEX		Y	Y	N	N	N		N				
N	3567	Russell 1000 Growth@NYF	[001001001001]	1	0.03%	20:00	18:00	8	16:15	RGAA Index	IRG	12:00		20	Vwap	10	20:05	22:05	20:05	22:05	0	0	0						RLG	NYBOT		Y	Y	N	N	N		N				
N	3568	DJ Industrial Average@CBT	[001001001001]	1	0.03%	08:45	15:15	8	15:15	DJA Index	DJ	12:00	15:15	20	Vwap	10	19:05	21:05	19:05	21:05	0	0	0						INDU	ECBOT		Y	Y	N	N	N		N				
N	3569	Stoxx 600 @EUX	[001001001001]	1	0.03%	08:00	20:00	8	17:30	SXOA Index	FXXP	12:00	17:30	20	Vwap	10	08:05	10:05	08:05	10:05	0	0	0						DJ600	DTB		Y	Y	N	N	N		N				
N	3570	Italian Index@MIL	[001001001001]	1	0.03%	08:30	20:50	8	17:35	STA Index		12:00	17:35	20	Vwap	10	08:35	10:35	08:35	10:35	0	0	1	1.65		N	Y	N	FTMIB	IDEM		Y	Y	N	N	N		N	1.65	1.65		
ToAdd	3572	Brazil Index@BMF	[010101010101]	1	0.03%	08:55	18:20	8	17:55	XBA Index	WIN	12:00	17:55	20	Twap	10	09:00	11:00	09:00	11:00	0.45	1.65	0	0.5	0.85		Y	Y	IBOV	BOVESPA		Y	Y	N	N	N		N	0.85	0.85	0.85	1/s sharpe 4.5; long sr 4.11; short sr 2.15
NotTB	3575	South African Index@SAF	[001001001001]	1	0.03%	08:30	17:30	8	17:30	AIA Index	ALSI	12:00	17:30	20	Vwap	10	08:35	10:35	08:35	10:35	0	0	0						TOP40	HKFE		Y	Y	N	N	N		N				
N	3576	Spain Index@MFM	[111111111111]	1	0.03%	08:00	20:00	8	17:30	IBA Index	MFXI	12:00	17:30	20	Vwap	10	08:05	10:05	08:05	10:05	0	0	0	1.5	1.65	Y	Y	Y	IBEX35	MEFFRV		Y	Y	N	N	N		N	1.5	1.5	1.65	
NotCFTC	3579	Norwegian Index@OBX	[111111111111]	1	0.03%	08:30	16:30	8	16:20	OIA Index		12:00	16:20	20	Vwap	10	08:35	10:35	08:35	10:35	0	0	0									N	N	N	N	N		N				
N	3580	MSCI Europe Index Mini@NYL	[001001001001]	1	0.03%	18:05	17:59	8	16:15	MCEA Index	MEE	12:00	16:15	20	Vwap	10	20:05	22:05	20:05	22:05	0	0	0						MSPE	NYSELIFFE		Y	Y	N	N	N		N				
N	3581	Mexican Index@MDX	[001001001001]	1	0.03%	08:00	15:00	8	15:00	ISA Index		12:00	15:00	20	Vwap	10	08:05	10:05	08:05	10:05	0	0	0						IPC	MEXI		Y	Y	N	N	N		N				
NoGiveup	3582	 TAIPEX@FTX 	 [111111111111] 	1	0.03%	15:00	13:45	8	13:45	 FTA Index 		12:00	13:45	20	 Vwap 	10	15:05	17:05	15:05	17:05	0	0	0									 N 	 N 	 N 	 N 	 N 						
NotTB	3583	DTOP@SAF	[001001001001]	1	0.03%	08:30	19:30	8	17:30	DVA Index		12:00	17:30	20	Vwap	10	08:35	10:35	08:35	10:35	0	0	0									N	N	N	N	N						
N	3585	JPX Nikkei 400@OSE	[001001001001]	1	0.03%	08:45	15:10	8	15:10	JPWA Index		12:00	15:10	20	Vwap	10	08:50	10:50	08:50	10:50	0	0	0									N	N	N	N	N						
N	3601	CBOE VIX@CBF	[111111111111]	1	0.03%	15:30	15:15	8	15:15	UXA Index	VX	12:00	15:15	20	Vwap	10	19:05	21:05	19:05	21:05	0	0	0						VIX	CFE		Y	Y	N	N	N		N				
N	3602	Vstoxx Mini@EUX	[111111111111]	1	0.03%	08:00	22:00	8	17:30	FVSA Index	FVS	12:00	17:30	20	Vwap	10	08:05	10:05	08:05	10:05	0	0	0						V2TX	DTB		Y	Y	N	N	N		N				
N	4101	Steel Rebar@SHF	[111111111111]	1	0.05%	21:00	15:00	8		RBTA Comdty		12:00		20	Vwap	10	21:05	23:05	21:05	23:05	0	0	0									N	N	N	N	N		N				
N	4102	Copper@SHF	[111111111111]	1	0.05%	21:00	15:00	8		CUA Comdty		12:00		20	Vwap	10	21:05	23:05	21:05	23:05	0	0	0									N	N	N	N	N		N				
N	4103	Iron Ore@DCE	[111111111111]	1	0.05%	21:00	16:00	8		IOEA Comdty		12:00		20	Vwap	10	21:05	23:05	21:05	23:05	0	0	0									N	N	N	N	N		N				
N	4104	Zinc@SHF	[111111111111]	1	0.05%	21:00	15:00	8		ZNAA Comdty		12:00		20	Vwap	10	21:05	23:05	21:05	23:05	0	0	0									N	N	N	N	N		N				
N	4105	Alumninum@LME	[111111111111]	1	0.05%	00:00	23:45	8	17:00	LAA Comdty		12:00	17:00	20	Vwap	10	00:05	02:05	00:05	02:05	0	0	0									N	N	N	N	N		N				
Y	4106	Copper@CMX	[001010101001]	1	0.05%	18:05	17:00	8	13:00	HGA Comdty	HG	12:00	13:00	20	Vwap	10	19:05	21:05	19:05	21:05	1.6	1.6	0	0.8	1.6	Y	Y	Y	HG	NYMEX	08:10	Y	Y	Y	Y	Y		Y	1.6	0.8		
N	4107	Copper@LME	[111111111111]	1	0.05%	00:00	23:45	8	17:00	LPA Comdty		12:00	17:00	20	Vwap	10	00:05	02:05	00:05	02:05	0	0	0									N	N	N	N	N		N				
N	4108	Zinc@LME	[111111111111]	1	0.05%	00:00	23:45	8	17:00	LXA Comdty		12:00	17:00	20	Vwap	10	00:05	02:05	00:05	02:05	0	0	0									N	N	N	N	N		N				
N	4109	Alumninum@SHF	[111111111111]	1	0.05%	21:00	15:00	8	17:00	AAA Comdty		12:00	17:00	20	Vwap	10	21:05	23:05	21:05	23:05	0	0	0									N	N	N	N	N		N				
N	4110	Nickel@LME	[111111111111]	1	0.05%	00:00	23:45	8	17:00	LNA Comdty		12:00	17:00	20	Vwap	10	00:05	02:05	00:05	02:05	0	0	0									N	N	N	N	N		N				
N	4111	Lead@LME	[111111111111]	1	0.05%	00:00	23:45	8	17:00	LLA Comdty		12:00	17:00	20	Vwap	10	00:05	02:05	00:05	02:05	0	0	0									N	N	N	N	N		N				
N	4112	NASAAC@LME	[111111111111]	1	0.05%	00:00	23:45	8	17:00	LKA Comdty		12:00	17:00	20	Vwap	10	00:05	02:05	00:05	02:05	0	0	0									N	N	N	N	N		N				
N	4113	Tim@LME	[111111111111]	1	0.05%	00:00	23:45	8	17:00	LTA Comdty		12:00	17:00	20	Vwap	10	00:05	02:05	00:05	02:05	0	0	0									N	N	N	N	N		N				
N	4114	Lead@SHF	[111111111111]	1	0.05%	21:00	15:00	8	17:00	PBLA Comdty		12:00	17:00	20	Vwap	10	21:05	23:05	21:05	23:05	0	0	0									N	N	N	N	N		N				
N	4118	Iron Ore@SGX	[111111111111]	1	0.05%	20:15	20:00	8	17:00	SCOA Comdty		12:00	17:00	20	Vwap	10	08:30	10:30	08:30	10:30	0	0	0									N	N	N	N	N		N				
N	4201	Rubber@SHF	[101111111110]	1	0.05%	21:00	15:00	8	17:00	RTA Comdty		12:00	17:00	20	Vwap	10	21:05	23:05	21:05	23:05	0	0	0									N	N	N	N	N		N				
N	4202	ZCE Glass @ZCE	[111111111111]	1	0.05%	21:00	15:00	8	15:00	FGLA Comdty		12:00	15:00	20	Vwap	10	21:05	23:05	21:05	23:05	0	0	0									N	N	N	N	N		N				
N	4203	Polyethylene@DCE	[101010101000]	1	0.05%	08:59	16:00	8	17:00	POLA Comdty	HMCE	12:00	17:00	20	Vwap	10	09:04	11:04	09:04	11:04	0	0	0									N	N	N	N	N		N				
N	4204	Pure Terephthalic Acid@ZCE	[111111111111]	1	0.05%	21:00	15:00	8	15:00	PTA Comdty		12:00	15:00	20	Vwap	10	21:05	23:05	21:05	23:05	0	0	0									N	N	N	N	N		N				
N	4205	Blockboard@DCE	[111111111111]	1	0.05%	08:59	16:00	8	17:00	BLCA Comdty		12:00	17:00	20	Vwap	10	09:04	11:04	09:04	11:04	0	0	0									N	N	N	N	N		N				
N	4206	Fibreboard@DCE	[111111111111]	1	0.05%	08:59	16:00	8	17:00	FREA Comdty		12:00	17:00	20	Vwap	10	09:04	11:04	09:04	11:04	0	0	0									N	N	N	N	N		N				
