MktID	BB	RIC	MarketName	Type	Sub	Sector	Venue	Ccy	PtVal	MinTkSz	Weight	TradableMnth	Cmsn	Slpg	Rollover	IBRoot	IBExch	Country	ExchTimeZone	ExchGMTOffset	PitStartExch	PitEndExch	SettlementWindow	Note
1101	C A Comdty	C	Corn@CBT	FUT		Agriculture/Corn	CBT	USD	50	0.25	1	[001010101001]	0	0	-2	ZC	ECBOT	US	America/Chicago	-6	08:30	13:15	13:14:00-13:15:00	
1102	ACA Comdty	DCC	Corn@DCE	FUT		Agriculture/Corn	DCE	CNY	10	1	1	[100010001000]	0	0	-30			CN	Asia/Shanghai	8	13:30	15:00		
1103	EPA Comdty	EMA	Maize@EOP	FUT		Agriculture/Corn	EOP	EUR	50	0.25	1	[101001010010]	0	0	-2	EMA	MATIF	FR	Europe/Paris	1	10:45	18:30		
1201	VVA Comdty		Cotton@ZCE	FUT		Agriculture/Fiber	ZCE	CNY	5	5	1	[101010101010]	0	0	0			CN	Asia/Shanghai	8	13:30	15:00		
1202	CTA Comdty	CT	Cotton No. 2@NYB	FUT		Agriculture/Fiber	NYB	USD	500	0.01	1	[001010100001]	0	0	-11	CT	NYBOT	US	America/New_York	-5	21:00	14:20	14:14:00-14:15:00	
1301	PALA Comdty	DCP	Palm Oil@DCE	FUT		Agriculture/Food	DCE	CNY	10	2	1	[100010001000]	0	0	-30			CN	Asia/Shanghai	8	13:30	15:00		
1302	CBA Comdty		White Sugar@ZCE	FUT		Agriculture/Food	ZCE	CNY	10	1	1	[101010101010]	0	0	0			CN	Asia/Shanghai	8	13:30	15:00		
1303	SBA Comdty	SB	Sugar No. 11@NYB	FUT		Agriculture/Food	NYB	USD	1120	0.01	1	[001010100100]	0	0	-10	SB	NYBOT	US	America/New_York	-5	03:30	13:00	12:53:00-12:55:00	
1304	DCEA Comdty		Egg@DCE	FUT		Agriculture/Food	DCE	CNY	10	1	1	[111111001111]	0	0	0			CN	Asia/Shanghai	8	13:30	15:00		
1305	QCA Comdty	LCC	London Cocoa No. 7@LIF	FUT		Agriculture/Food	LIF	GBP	10	1	1	[001010101001]	0	0	-20	C	ICEEUSOFT	GB	Europe/London	0	09:30	16:50		
1306	CCA Comdty	CC	Cocoa@NYB	FUT		Agriculture/Food	NYB	USD	10	1	1	[001010101001]	0	0	-20	CC	NYBOT	US	America/New_York	-5	04:45	13:30	11:48:00-11:50:00	
1307	KCA Comdty	KC	Coffee C@NYB	FUT		Agriculture/Food	NYB	USD	375	0.05	1	[001010101001]	0	0	-20	KC	NYBOT	US	America/New_York	-5	04:15	13:30	13:23:00-13:25:00	
1308	DFA Comdty	LRC	Robusta Coffee@LIF	FUT		Agriculture/Food	LIF	USD	10	1	1	[101010101010]	0	0	-20	D	ICEEUSOFT	GB	Europe/London	0	09:00	17:30		
1309	QWA Comdty	LSU	Sugar@LIF	FUT		Agriculture/Food	LIF	USD	50	0.1	1	[001010010101]	0	0	-20	W	ICEEUSOFT	GB	Europe/London	0	08:45	18:30		
1310	DAA Comdty	DA	Milk@CME	FUT		Agriculture/Food	CME	USD	2000	0.01	1	[111111111111]	0	0	0	DA	GLOBEX	US	America/Chicago	-6	09:05	13:10		
1311	JOA Comdty	OJ	FCOJ@NYB	FUT		Agriculture/Food	NYB	USD	150	0.05	1	[101010101010]	0	0	-7	OJ	NYBOT	US	America/New_York	-5	08:00	14:00	13:29:00-13:30:00	
1401	LCA Comdty	LC	Live Cattle@CME	FUT		Agriculture/Live Stock	CME	USD	400	0.025	1	[010101010101]	0	0	-15	LE	GLOBEX	US	America/Chicago	-6	09:05	13:00	12:59:30-13:00:00	
1402	LHA Comdty	LH	Lean Hogs@CME	FUT		Agriculture/Live Stock	CME	USD	400	0.025	1	[010101010101]	0	0	0	HE	GLOBEX	US	America/Chicago	-6	09:05	13:00	12:59:30-13:00:00	
1403	FCA Comdty	FC	Feeder Cattle@CME	FUT		Agriculture/Live Stock	CME	USD	500	0.025	1	[101110010110]	0	0	0	GF	GLOBEX	US	America/Chicago	-6	09:05	13:00		
1501	ZRRA Comdty		Rapeseed@ZCE	FUT		Agriculture/Grain	ZCE	CNY	10	1	1	[101010111010]	0	0	0			CN	Asia/Shanghai	8	16:00	20:50		
1502	ZROA Comdty		Rapeseed Oil@ZCE	FUT		Agriculture/Grain	ZCE	CNY	10	2	1	[101010101010]	0	0	0			CN	Asia/Shanghai	8	13:30	15:00		
1503	RSA Comdty	RS	Canola@WCE	FUT		Agriculture/Grain	WCE	CAD	20	0.1	1	[101010100010]	0	0	-20			CA	America/Winnipeg	-6	19:00	13:15		
1504	IJA Comdty	COM	Euro Rapeseed@EOP	FUT		Agriculture/Grain	EOP	EUR	50	0.25	1	[010010010010]	0	0	-12	ECO	MATIF	FR	Europe/Paris	1	10:45	18:30		
1505	IRIA Comdty		Early Indica Rice@ZCE	FUT		Agriculture/Grain	ZCE	CNY	20	1	1	[101010101010]	0	0	0			CN	Asia/Shanghai	8	13:30	15:00		
1506	O A Comdty	O	Oats@CBT	FUT		Agriculture/Grain	CBT	USD	50	0.25	1	[001010100001]	0	0	0	ZO	ECBOT	US	America/Chicago	-6	08:30	13:15		
1507	RRA Comdty	RR	Rough Rice@CBT	FUT		Agriculture/Grain	CBT	USD	2000	0.005	1	[101010101010]	0	0	0	ZR	ECBOT	US	America/Chicago	-6	08:30	13:15		
1601	AEA Comdty	DSM	Soymeal@DCE	FUT		Agriculture/Soy	DCE	CNY	10	1	1	[100010001000]	0	0	-30			CN	Asia/Shanghai	8	13:30	15:00		
1602	SHA Comdty	DBY	Soybean Oil@DCE	FUT		Agriculture/Soy	DCE	CNY	10	2	1	[100010001000]	0	0	0			CN	Asia/Shanghai	8	13:30	15:00		
1603	AKA Comdty	DSA	Soybean No. 1@DCE	FUT		Agriculture/Soy	DCE	CNY	10	1	1	[100010001000]	0	0	-30			CN	Asia/Shanghai	8	13:30	15:00		
1604	S A Comdty	S	Soybean@CBT	FUT		Agriculture/Soy	CBT	USD	50	0.25	1	[101010111010]	0	0	-10	ZS	ECBOT	US	America/Chicago	-6	08:30	13:15	13:14:00-13:15:00	
1605	SMA Comdty	SM	Soybean Meal@CBT	FUT		Agriculture/Soy	CBT	USD	100	0.1	1	[101010111001]	0	0	-10	ZM	ECBOT	US	America/Chicago	-6	08:30	13:15	13:14:00-13:15:00	skip contract V 
1606	BOA Comdty	BO	Soybean Oil@CBT	FUT		Agriculture/Soy	CBT	USD	600	0.01	1	[101010111001]	0	0	-10	ZL	ECBOT	US	America/Chicago	-6	08:30	13:15	13:14:00-13:15:00	skip contract V 
1701	W A Comdty	W	Winter Wheat@CBT	FUT		Agriculture/Wheat	CBT	USD	50	0.25	1	[001010101001]	0	0	-10	ZW	ECBOT	US	America/Chicago	-6	08:30	13:15	13:14:00-13:15:00	
1703	KWA Comdty	KW	Hard Red Wheat@CBT	FUT		Agriculture/Wheat	CBT	USD	50	0.25	1	[001010101001]	0	0	-10	KE	ECBOT	US	America/Chicago	-6	08:30	13:15	13:14:00-13:15:00	
1704	VNA Comdty		Strong Gluten Wheat@ZCE	FUT		Agriculture/Wheat	ZCE	CNY	20	1	1	[101010101010]	0	0	0			CN	Asia/Shanghai	8	13:30	15:00		
1705	MWA Comdty	1MWE	Red Spring Wheat@MGE	FUT		Agriculture/Wheat	MGE	USD	50	0.25	1	[001010101001]	0	0	-3			US	America/Chicago	-6	19:00	13:30		
1706	CAA Comdty	BL2	Milling Wheat@EOP	FUT		Agriculture/Wheat	EOP	EUR	50	0.25	1	[101010000010]	0	0	0	EBM	MATIF	FR	Europe/Paris	1	10:45	18:30		
2101	KEEA Comdty	DCJ	Coke@DCE	FUT		Energy/Coal	DCE	CNY	100	0.5	1	[100010001000]	0	0	-30			CN	Asia/Shanghai	8	13:30	15:00		
2102	CKCA Comdty		Coking Coal @DCE	FUT		Energy/Coal	DCE	CNY	60	0.5	1	[100010001000]	0	0	0			CN	Asia/Shanghai	8	13:30	15:00		
2103	TRCA Comdty		Thermal Coal@ZCE	FUT		Energy/Coal	ZCE	CNY	200	0.2	1	[111111111111]	0	0	0			CN	Asia/Shanghai	8	13:30	15:00		
2201	COA Comdty	LCO	Brent Crude Oil@ICE	FUT		Energy/Crude Oil	ICE	USD	1000	0.01	1	[111111111111]	0	0	-35	COIL	IPE	GB	Europe/London	0	01:00	23:00	19:28:00-19:28:00	
2202	CLA Comdty	CL	WTI Crude Oil@NYM	FUT		Energy/Crude Oil	NYM	USD	1000	0.01	1	[111111111111]	0	0	-20	CL	NYMEX	US	America/New_York	-5	09:00	14:30	14:28:00-14:30:00	
2203	ENA Comdty	WTCL	WTI Crude Oil@ICE	FUT		Energy/Crude Oil	ICE	USD	1000	0.01	1	[111111111111]	0	0	-50	WTI	IPE	GB	Europe/London	0	01:00	23:00		
2301	NGA Comdty	NG	Natral Gas@NYM	FUT		Energy/Natural Gas	NYM	USD	10000	0.001	1	[111111111111]	0	0	-15	NG	NYMEX	US	America/New_York	-5	09:00	14:30	14:28:00-14:30:00	
2302	FNA Comdty		Natral Gas@ICE	FUT		Energy/Natural Gas	ICE	GBP	280	0.01	1	[111111111111]	0	0	-20	NGF	IPE	GB	Europe/London	0	07:00	17:00		
2401	QSA Comdty	LGO	Gasoil@ICE	FUT		Energy/Refined Product	ICE	USD	100	0.25	1	[111111111111]	0	0	-10	GOIL	IPE	GB	Europe/London	0	01:00	23:00	16:27:00-16:27:00	
