Trade	MktID	MarketName	TradableMnth	Weight	Slpg	Open	Close	CtCnt	Settle	BB	RIC	Tm1	Tm2	EnEndAdj	ExOT	ExPeriod	RebBegin	RebEnd	longMult	shortMult	TradeDir	longMult	shortMult	longShort	long	short	IBRoot	IBExch	OpenReg	URic	UIB	UR2NIntra	URNEX2d	UEm	Note	ProdWithAsian	longShort	longOnly	shortOnly	Note
Y	1303	Sugar No. 11@NYB	[001010100100]	1	0.05%	04:30	13:00	8	12:55	SBA Comdty	SB	12:00	12:30	30	Vwap	20	04:45	05:45	1.2	1.35	-1		1.15	N	N	Y	SB	NYBOT		Y	Y	Y	Y	Y		Y	0.9		0.85	long almost always lose
Y	1308	Robusta Coffee@LIF	[101010101010]	1	0.05%	09:00	17:30	8	17:25	DFA Comdty	LRC	12:00	12:30	30	Vwap	20	09:15	10:15	0	1.8	0	1.8	1.2	Y	Y	Y	D	ICEEUSOFT		Y	Y	Y	Y	Y		Y		1.8		Fix BST time
Y	1309	Sugar@LIF	[001010010101]	1	0.05%	08:45	17:00	8	17:55	QWA Comdty	LSU	12:00	18:00	30	Vwap	20	08:50	09:50	0	0.8	1	1.75		N	Y	N	W	ICEEUSOFT		Y	Y	Y	Y	Y		Y	1.5	1.75	1.35	best long sr @1.75; 
