Trade	MktID	MarketName	TradableMnth	Weight	Slpg	Open	Close	CtCnt	Settle	BB	RIC	Tm1	Tm2	EnEndAdj	ExOT	ExPeriod	RebBegin	RebEnd	longMult	shortMult	TradeDir	longMult	shortMult	longShort	long	short	IBRoot	IBExch	OpenReg	URic	UIB	UR2NIntra	URNEX2d	UEm	Note	ProdWithAsian	longShort	longOnly	shortOnly	Note
Y	1101	Corn@CBT	[001010100001]	1	0.05%	19:00	13:20	8	13:15	C A Comdty	C	12:00	13:15	20	Vwap	10	10:40	11:40	0	1.8	0			N	N	N	ZC	ECBOT		Y	Y	Y	Y	Y		Y		1.5		long sr 0.97
Y	1103	Maize@EOP	[101001010010]	1	0.16%	10:45	18:30	8	18:30	EPA Comdty	EMA	12:00	18:30	20	Vwap	10	11:05	12:05	1.8	0	0						EMA	MATIF		Y	Y	N	Y	N		N				
Y	1202	Cotton No. 2@NYB	[001010100001]	1	0.05%	21:00	14:30	8	14:15	CTA Comdty	CT	12:00	14:15	20	Vwap	10	08:10	09:10	0	1.25	-1		1.9	N	N	Y	CT	NYBOT	21:00	Y	Y	Y	Y	Y		Y	1.7	1	1.9	
Y	1303	Sugar No. 11@NYB	[001010100100]	1	0.05%	04:30	13:00	8	12:55	SBA Comdty	SB	12:00	12:30	30	Vwap	20	04:45	05:45	1.2	1.35	-1		1.15	N	N	Y	SB	NYBOT		Y	Y	Y	Y	Y		Y	0.9		0.85	long almost always lose
Y	1308	Robusta Coffee@LIF	[101010101010]	1	0.05%	09:00	17:30	8	17:25	DFA Comdty	LRC	12:00	12:30	30	Vwap	20	09:15	10:15	0	1.8	0	1.8	1.2	Y	Y	Y	D	ICEEUSOFT		Y	Y	Y	Y	Y		Y		1.8		Fix BST time
Y	1309	Sugar@LIF	[001010010101]	1	0.05%	08:45	17:00	8	17:55	QWA Comdty	LSU	12:00	18:00	30	Vwap	20	08:50	09:50	0	0.8	1	1.75		N	Y	N	W	ICEEUSOFT		Y	Y	Y	Y	Y		Y	1.5	1.75	1.35	best long sr @1.75; 
Y	1401	Live Cattle@CME	[010101010101]	1	0.05%	08:30	13:05	8	13:00	LCA Comdty	LC	12:00	12:30	40	Vwap	30	09:40	10:40	1.8	1.55	0	1.35	1.65	Y	Y	Y	LE	GLOBEX	08:30	Y	Y	Y	Y	Y		N	1.65	1.8	1.65	
Y	1402	Lean Hogs@CME	[010101010101]	1	0.05%	08:30	13:05	8	13:00	LHA Comdty	LH	12:30	12:30	40	Vwap	30	08:50	09:50	1.5	1.65	0	1.35	0.85	Y	Y	Y	HE	GLOBEX	08:30	Y	Y	Y	Y	Y		Y	1.2	1.35	1	long sr2.36; short sr 1.9
Y	1606	Soybean Oil@CBT	[101010101001]	1	0.05%	19:00	13:20	8	13:15	BOA Comdty	BO	12:00	12:00	30	Vwap	20	08:30	09:30	1.6	0	0	1.6	1.25	Y	Y	Y	ZL	ECBOT		Y	Y	Y	Y	Y		Y	1.6	1.6	1.25	ls sr 1.32; long sr 1.55; short sr 1.4
Y	1703	Hard Red Wheat@CBT	[001010101001]	1	0.05%	19:00	13:20	8	13:15	KWA Comdty	KW	13:15	13:15	30	Vwap	20	08:30	09:30	1.45	0	0				N	N	KE	ECBOT		Y	Y	Y	Y	Y		Y	1.5	1.5	1.6	short sr 1.34
Y	1706	Milling Wheat@EOP	[101010000010]	1	0.14%	10:45	19:30	8	18:30	CAA Comdty	BL2	18:30	18:30	30	Twap	20	11:05	12:05	2.5	2.5	1	1.95		N	Y	N	EBM	MATIF		Y	Y	N	Y	N		N		1.95		before 2015/09 [101010000010]
